gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS21855,,,alpha-glucosidase/alpha-galactosidase,,
ATU_RS21860,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21865,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS21870,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS21875,,,ABC transporter ATP-binding protein,,
ATU_RS21880,,,alpha-glucosidase/alpha-galactosidase,,
ATU_RS21885,,,HlyD family secretion protein,,
ATU_RS21890,rbbA,,ribosome-associated ATPase/putative transporter RbbA,ATP binding|0005524||IEA,transmembrane transport|0055085||IEA
ATU_RS21895,,,ABC transporter permease,ABC-type transporter activity|0140359||IEA,
ATU_RS21900,,,hypothetical protein,,
ATU_RS21905,,,DUF1127 domain-containing protein,,
ATU_RS21910,,,response regulator,,
ATU_RS21915,ftsZ,,cell division protein FtsZ,GTPase activity|0003924||IEA,cytokinesis|0000910||IEA
ATU_RS21920,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS21925,,,dihydrodipicolinate synthase family protein,,
ATU_RS21930,,,Ldh family oxidoreductase,,
ATU_RS21935,,,transporter substrate-binding domain-containing protein,,
ATU_RS21940,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21945,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21950,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS21955,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS21960,,,aconitase X,,
ATU_RS21965,,,proline racemase family protein,,
ATU_RS21970,,,LacI family DNA-binding transcriptional regulator,transcription cis-regulatory region binding|0000976||IEA,DNA-templated transcription|0006351||IEA
ATU_RS21975,,,hypothetical protein,,
ATU_RS21980,,,transporter substrate-binding domain-containing protein,,
ATU_RS21985,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21990,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS21995,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22000,,,2-hydroxyacid dehydrogenase,,
ATU_RS22005,,,bifunctional diguanylate cyclase/phosphodiesterase,,
ATU_RS22010,,,porin,,
ATU_RS22015,,,amidohydrolase family protein,hydrolase activity|0016787||IEA,
ATU_RS22020,,,ABC transporter substrate-binding protein,,
ATU_RS22025,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS22030,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS22035,,,amidohydrolase family protein,,
ATU_RS22040,,,amidohydrolase family protein,,
ATU_RS22045,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22050,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22055,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS22060,,,flavin reductase family protein,FMN binding|0010181||IEA,
ATU_RS22065,,,aspartate/glutamate racemase family protein,,
ATU_RS22070,,,LysR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS22075,,,formate dehydrogenase subunit gamma,oxidoreductase activity|0016491||IEA,
ATU_RS22080,,,NADH-quinone oxidoreductase subunit NuoF,,
ATU_RS22085,fdhF,,formate dehydrogenase subunit alpha,formate dehydrogenase (NAD+) activity|0008863||IEA,formate metabolic process|0015942||IEA
ATU_RS22090,,,formate dehydrogenase subunit delta,,
ATU_RS22095,,,OFA family MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS22100,,,HAMP domain-containing sensor histidine kinase,phosphorelay response regulator activity|0000156||IEA,signal transduction|0007165||IEA
ATU_RS22105,,,response regulator transcription factor,DNA binding|0003677||IEA,phosphorelay signal transduction system|0000160||IEA
ATU_RS22110,,,hypothetical protein,,
ATU_RS22115,,,DUF992 domain-containing protein,,
ATU_RS22120,,,BON domain-containing protein,,
ATU_RS22125,,,CsbD family protein,,
ATU_RS22130,,,PAS domain S-box protein,,
ATU_RS22135,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS22140,,,ABC transporter substrate-binding protein,,
ATU_RS22145,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS22150,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS22155,,,gamma-glutamyltransferase family protein,hydrolase activity|0016787||IEA,
ATU_RS22160,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22165,,,CsbD family protein,,
ATU_RS22170,,,GCG_CRPN prefix-to-repeats domain-containing protein,,
ATU_RS22175,,,superoxide dismutase,superoxide dismutase activity|0004784||IEA,
ATU_RS22180,,,tripartite tricarboxylate transporter substrate binding protein,,
