gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS14350,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14355,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14360,,,TetR/AcrR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14365,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS14370,,,dihydrodipicolinate synthase family protein,,
ATU_RS14375,,,sugar phosphate isomerase/epimerase,catalytic activity|0003824||IEA,
ATU_RS14380,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS26565,,,hypothetical protein,,
ATU_RS14385,,,cold-shock protein,transcription antitermination factor activity,
ATU_RS14390,,,cold-shock protein,,
ATU_RS14395,rpsU,,30S ribosomal protein S21,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA
ATU_RS14400,,,hypothetical protein,,
ATU_RS26570,,,hypothetical protein,,
ATU_RS14405,,,hypothetical protein,,
ATU_RS14410,,,acyltransferase,acyltransferase activity,
ATU_RS14415,,,glycoside hydrolase family 105 protein,,
ATU_RS14420,,,glycoside hydrolase family 28 protein,,
ATU_RS14425,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14430,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14435,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS14440,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14445,,,AraC family transcriptional regulator,sequence-specific DNA binding|0043565||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14450,,,TRAP transporter large permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS14455,,,TRAP transporter small permease,transmembrane transporter activity|0022857||IEA,
ATU_RS14460,,,TRAP transporter substrate-binding protein,,
ATU_RS14465,,,D-galactarolactone isomerase,,
ATU_RS14470,,,D-galactarolactone cycloisomerase,,
ATU_RS14475,kdgD,,5-dehydro-4-deoxyglucarate dehydratase,5-dehydro-4-deoxyglucarate dehydratase activity|0047448||IEA,
ATU_RS14480,kduD,,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,2-deoxy-D-gluconate 3-dehydrogenase activity|0008678||IEA,polysaccharide catabolic process|0000272||IEA
ATU_RS14485,kduI,,5-dehydro-4-deoxy-D-glucuronate isomerase,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity|0008697||IEA,pectin catabolic process|0045490||IEA
ATU_RS14490,,,NAD(P)-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS14495,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS14500,,,cupin domain-containing protein,,
ATU_RS14505,,,Xaa-Pro peptidase family protein,peptidase activity|0008233||IEA,proteolysis|0006508||IEA
ATU_RS14510,,,aldo/keto reductase,,
ATU_RS14515,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14520,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS14525,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14530,,,sugar ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14535,,,helix-turn-helix domain-containing protein,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14540,,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14545,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS14550,,,LysR substrate-binding domain-containing protein,,
ATU_RS14555,,,TRAP transporter large permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS14560,,,TRAP transporter small permease,transmembrane transporter activity|0022857||IEA,
ATU_RS14565,,,DctP family TRAP transporter solute-binding subunit,,
ATU_RS14570,,,NAD(P)-dependent oxidoreductase,NADP binding|0050661||IEA,
ATU_RS14575,,,putative quinol monooxygenase,monooxygenase activity|0004497||IEA,
ATU_RS14580,,,NAD(P)H-dependent oxidoreductase,,
ATU_RS14585,,,LacI family DNA-binding transcriptional regulator,transcription cis-regulatory region binding|0000976||IEA,DNA-templated transcription|0006351||IEA
ATU_RS14590,,,D-altritol 5-dehydrogenase,,
ATU_RS14595,,,galactitol 2-dehydrogenase,,
ATU_RS14600,,,sugar ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14605,,,sugar kinase,,
ATU_RS14610,,,D-tagatose-bisphosphate aldolase,catalytic activity|0003824||IEA,carbohydrate metabolic process|0005975||IEA
ATU_RS14615,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14620,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS14625,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14630,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14635,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS14640,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14645,,,sugar ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14650,,,PLP-dependent transferase,,
ATU_RS14655,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS14660,,,ribonuclease H,,
ATU_RS14665,aztC,,zinc ABC transporter substrate-binding protein AztC,zinc ion binding|0008270||IEA,
ATU_RS14670,aztB,,zinc ABC transporter permease AztB,,
ATU_RS14675,aztA,,zinc ABC transporter ATP-binding protein AztA,,
ATU_RS14680,zigA,,zinc metallochaperone GTPase ZigA,,
ATU_RS14685,,,YqaA family protein,,
ATU_RS14690,,,hypothetical protein,,
ATU_RS14695,,,GTP-binding protein,GTPase activity|0003924||IEA,
ATU_RS14700,ugpB,,sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB,,transmembrane transport|0055085||IEA
ATU_RS14705,ugpA,,sn-glycerol-3-phosphate ABC transporter permease UgpA,,
ATU_RS14710,ugpE,,sn-glycerol-3-phosphate ABC transporter permease UgpE,,glycerol-3-phosphate transmembrane transport|0015794||IEA
ATU_RS14715,,,sn-glycerol-3-phosphate import ATP-binding protein UgpC,,
ATU_RS14720,,,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,,
ATU_RS14725,,,glyoxalase superfamily protein,,
ATU_RS14730,,,OmpW family protein,,
ATU_RS14735,,,MFS transporter,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA
ATU_RS14740,,,MarR family winged helix-turn-helix transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14745,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS14750,odc2,,ornithine/lysine decarboxylase,,
ATU_RS14755,,,LysR family transcriptional regulator,DNA-binding transcription activator activity|0001216||IEA,
ATU_RS14760,,,substrate-binding domain-containing protein,,
ATU_RS14765,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS14770,,,sugar ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14775,,,TetR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS14780,,,efflux RND transporter permease subunit,efflux transmembrane transporter activity|0015562||IEA,xenobiotic transport|0042908||IEA
ATU_RS14785,,,efflux RND transporter periplasmic adaptor subunit,transporter activity|0005215||IEA,transport|0006810||IEA
ATU_RS14790,,,sensor domain-containing diguanylate cyclase,metal ion binding|0046872||IEA,signal transduction|0007165||IEA
ATU_RS14795,,,bifunctional allantoicase/(S)-ureidoglycine aminohydrolase,allantoicase activity|0004037||IEA,ureide catabolic process|0010136||IEA
ATU_RS14800,,,class I SAM-dependent methyltransferase,methyltransferase activity|0008168||IEA,
ATU_RS14805,,,bifunctional diguanylate cyclase/phosphodiesterase,,
ATU_RS14810,,,Ldh family oxidoreductase,,
ATU_RS14815,,,DNA translocase FtsK,DNA binding|0003677||IEA,
ATU_RS14820,,,hypothetical protein,,
ATU_RS14825,,,ABC transporter substrate-binding protein,,
ATU_RS14830,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS14835,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14840,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14845,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14850,,,alanine--glyoxylate aminotransferase family protein,,
ATU_RS14855,,,hypothetical protein,,
ATU_RS14860,,,IlvD/Edd family dehydratase,hydro-lyase activity|0016836||IEA,
ATU_RS14865,,,hypothetical protein,,
ATU_RS14870,ytfQ,,galactofuranose ABC transporter,ABC-type D-galactofuranose transporter|0103116||IEA,D-galactonate transmembrane transport|0042875||IEA
ATU_RS14875,,,sugar ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14880,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS14885,yjfF,,galactofuranose ABC transporter,ABC-type D-galactofuranose transporter|0103116||IEA,D-galactonate transmembrane transport|0042875||IEA
ATU_RS14890,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS14895,,,AraC family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14900,,,error-prone DNA polymerase,DNA-directed DNA polymerase activity|0003887||IEA,DNA replication|0006260||IEA
ATU_RS14905,,,DNA polymerase Y family protein,,
ATU_RS14910,,,ImuA family protein,,
ATU_RS14915,,,DUF1304 domain-containing protein,,
ATU_RS14920,,,glycerate kinase,,
ATU_RS14925,,,hypothetical protein,,
ATU_RS14930,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS14935,,,sugar phosphate isomerase/epimerase,isomerase activity|0016853||IEA,
ATU_RS14940,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS14945,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS14950,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS14955,,,extracellular solute-binding protein,,
ATU_RS14960,,,ROK family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS14965,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS14970,,,ThuA domain-containing protein,,
ATU_RS14975,,,amidase,,
ATU_RS14980,,,EAL domain-containing protein,,
ATU_RS14985,,,amino acid ABC transporter substrate-binding protein,,
ATU_RS14990,,,amino acid ABC transporter substrate-binding protein,,
ATU_RS14995,minE,,cell division topological specificity factor MinE,,regulation of division septum assembly|0032955||IEA
ATU_RS15000,minD,,septum site-determining protein MinD,ATP hydrolysis activity|0016887||IEA,division septum site selection|0000918||IEA
ATU_RS15005,minC,,septum site-determining protein MinC,enzyme inhibitor activity|0004857||IEA,division septum site selection|0000918||IEA
ATU_RS15010,,,HAD family hydrolase,,
ATU_RS15015,,,FadR/GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS15020,,,sialic acid TRAP transporter substrate-binding protein SiaP,,
ATU_RS15025,,,TRAP transporter small permease,transmembrane transporter activity|0022857||IEA,
ATU_RS15030,,,TRAP transporter large permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS15035,,,L-idonate 5-dehydrogenase,,
ATU_RS15040,uxuA,,mannonate dehydratase,mannonate dehydratase activity|0008927||IEA,glucuronate catabolic process|0006064||IEA
ATU_RS15045,,,hypothetical protein,,
ATU_RS15050,,,aldehyde dehydrogenase (NADP(+)),,
ATU_RS15055,,,TRAP transporter substrate-binding protein,,
ATU_RS15060,,,TRAP transporter large permease subunit,C4-dicarboxylate transmembrane transporter activity|0015556||IEA,C4-dicarboxylate transport|0015740||IEA
ATU_RS15065,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15070,,,aminotransferase class V-fold PLP-dependent enzyme,,
ATU_RS15075,,,IclR family transcriptional regulator,DNA binding|0003677||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS15080,,,RidA family protein,,
ATU_RS15085,,,amidohydrolase/deacetylase family metallohydrolase,hydrolase activity,
ATU_RS15090,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15095,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS15100,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15105,,,glycosyltransferase family 4 protein,,
ATU_RS15110,,,polysaccharide biosynthesis/export family protein,polysaccharide transmembrane transporter activity|0015159||IEA,
ATU_RS15115,,,efflux RND transporter periplasmic adaptor subunit,,
ATU_RS15120,,,efflux RND transporter permease subunit,transmembrane transporter activity|0022857||IEA,
ATU_RS15125,,,invasion associated locus B family protein,,
ATU_RS15130,,,autotransporter domain-containing protein,,
ATU_RS15135,,,flavin reductase family protein,FMN binding|0010181||IEA,
ATU_RS15140,,,aldo/keto reductase family oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15145,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15150,,,GntR family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS15155,ugpC,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15160,,,ABC transporter substrate-binding protein,,
ATU_RS15165,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15170,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS15175,,,alpha-glucosidase,hydrolase activity,
ATU_RS15180,,,ABC transporter permease,ATP binding|0005524||IEA,
ATU_RS15185,,,ABC transporter substrate-binding protein,,
ATU_RS15190,,,hydroxyethylthiazole kinase,,
ATU_RS15195,thiE,,thiamine phosphate synthase,thiamine-phosphate diphosphorylase activity|0004789||IEA,thiamine biosynthetic process|0009228||IEA
ATU_RS15200,thiD,,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,hydroxymethylpyrimidine kinase activity|0008902||IEA,thiamine biosynthetic process|0009228||IEA
ATU_RS15205,,,Lrp/AsnC family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS15210,alr,,alanine racemase,alanine racemase activity|0008784||IEA,peptidoglycan biosynthetic process|0009252||IEA
ATU_RS15215,,,D-amino acid dehydrogenase,D-amino-acid dehydrogenase activity|0008718||IEA,D-alanine catabolic process|0055130||IEA
ATU_RS15220,,,GntR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,
ATU_RS15225,,,BA14K family protein,,
ATU_RS15230,,,sigma-54 dependent transcriptional regulator,ATP binding|0005524||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS15235,,,sensor histidine kinase,,
ATU_RS15240,,,dicarboxylate/amino acid:cation symporter,symporter activity|0015293||IEA,dicarboxylic acid transport|0006835||IEA
ATU_RS15245,,,EamA family transporter,,
ATU_RS15250,,,aspartate aminotransferase family protein,,
ATU_RS15255,,,SDR family NAD(P)-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15260,,,GNAT family N-acetyltransferase,,
ATU_RS15265,,,amidohydrolase,carboxypeptidase activity|0004180||IEA,
ATU_RS15270,,,cellulose synthase,,
ATU_RS15275,,,glycosyl hydrolase family 8,hydrolase activity,carbohydrate metabolic process|0005975||IEA
ATU_RS15280,,,cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB,,
ATU_RS15285,bcsA,,UDP-forming cellulose synthase catalytic subunit,cellulose synthase activity|0016759||IEA,UDP-glucose metabolic process|0006011||IEA
ATU_RS15290,bcsN,,cellulose biosynthesis protein BcsN,,
ATU_RS15295,,,AGE family epimerase/isomerase,,
ATU_RS15300,,,glycoside hydrolase family 26 protein,,
ATU_RS15305,,,DUF995 domain-containing protein,,
ATU_RS15310,,,glycosyltransferase family 2 protein,,
ATU_RS15315,galE,,UDP-glucose 4-epimerase GalE,UDP-glucose 4-epimerase activity|0003978||IEA,galactose metabolic process|0006012||IEA
ATU_RS15320,,,UDP-glucuronic acid decarboxylase family protein,,
ATU_RS15325,,,hypothetical protein,,
ATU_RS15330,,,response regulator transcription factor,DNA binding|0003677||IEA,phosphorelay signal transduction system|0000160||IEA
ATU_RS15335,,,fibrinogen-binding protein,,
ATU_RS15340,,,hypothetical protein,,
ATU_RS15345,,,type I secretion system permease/ATPase,,protein secretion by the type I secretion system|0030253||IEA
ATU_RS15350,,,HlyD family type I secretion periplasmic adaptor subunit,,protein secretion by the type I secretion system|0030253||IEA
ATU_RS15355,,,hypothetical protein,,
ATU_RS15360,,,O-antigen ligase,O antigen ligase activity|0008754||IEA,
ATU_RS15365,,,polysaccharide biosynthesis/export family protein,polysaccharide transmembrane transporter activity|0015159||IEA,polysaccharide transport|0015774||IEA
ATU_RS15370,,,sugar transferase,,
ATU_RS15380,,,cupin domain-containing protein,,
ATU_RS15385,,,aspartate aminotransferase family protein,,
ATU_RS15390,,,methyl-accepting chemotaxis protein,,chemotaxis|0006935||IEA
ATU_RS15395,,,L,acyltransferase activity|0016746||IEA,peptidoglycan-protein cross-linking|0018104||IEA
ATU_RS15400,,,murein L,transferase activity|0016740||IEA,regulation of cell shape|0008360||IEA
ATU_RS15405,,,SDR family NAD(P)-dependent oxidoreductase,,
ATU_RS15410,,,hypothetical protein,,
ATU_RS15415,,,DNA-3-methyladenine glycosylase,alkylbase DNA N-glycosylase activity|0003905||IEA,base-excision repair|0006284||IEA
ATU_RS26575,,,hypothetical protein,,
ATU_RS15420,,,hypothetical protein,,
ATU_RS15425,,,substrate-binding domain-containing protein,,
ATU_RS15430,,,ABC transporter substrate-binding protein,,
ATU_RS15435,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15440,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS15445,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15450,,,ThuA domain-containing protein,,
ATU_RS15455,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS15460,queE,,7-carboxy-7-deazaguanine synthase QueE,4 iron,tRNA modification|0006400||IEA
ATU_RS15465,queD,,6-carboxytetrahydropterin synthase QueD,catalytic activity|0003824||IEA,queuosine biosynthetic process|0008616||IEA
ATU_RS15470,queC,,7-cyano-7-deazaguanine synthase QueC,,queuosine biosynthetic process|0008616||IEA
ATU_RS15475,,,Gfo/Idh/MocA family protein,oxidoreductase activity|0016491||IEA,
ATU_RS15480,,,sugar phosphate isomerase/epimerase,isomerase activity|0016853||IEA,
ATU_RS15485,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15490,,,carbohydrate ABC transporter permease,,carbohydrate transport|0008643||IEA
ATU_RS15495,,,carbohydrate ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15500,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15505,,,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,mannose-6-phosphate isomerase activity|0004476||IEA,lipopolysaccharide biosynthetic process|0009103||IEA
ATU_RS15510,,,glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase,,
ATU_RS15515,,,LysR family transcriptional regulator,DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA
ATU_RS15520,,,NADP-dependent malic enzyme,malic enzyme activity|0004470||IEA,
ATU_RS15525,,,transporter substrate-binding domain-containing protein,,
ATU_RS15530,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS15535,,,amino acid ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,amino acid transport|0006865||IEA
ATU_RS15540,,,amino acid ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15545,,,MmgE/PrpD family protein,lyase activity|0016829||IEA,
ATU_RS15550,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15555,,,PAS domain-containing methyl-accepting chemotaxis protein,,
ATU_RS15560,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15565,,,hypothetical protein,,
ATU_RS15570,,,aa3-type cytochrome c oxidase subunit IV,,
ATU_RS15575,,,TRAP transporter small permease subunit,,
ATU_RS15580,,,TRAP transporter large permease subunit,,
ATU_RS15585,,,TRAP transporter substrate-binding protein,,
ATU_RS15590,,,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,,
ATU_RS15595,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS15600,,,sugar ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15605,,,sugar ABC transporter substrate-binding protein,,
ATU_RS15610,,,M20 family metallopeptidase,,
ATU_RS15615,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15620,,,serine hydrolase,beta-lactamase activity|0008800||IEA,beta-lactam antibiotic catabolic process|0030655||IEA
ATU_RS15625,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15630,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15635,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS15640,,,LysR family transcriptional regulator,,
ATU_RS15645,,,HlyD family type I secretion periplasmic adaptor subunit,,protein secretion by the type I secretion system|0030253||IEA
ATU_RS15650,,,type I secretion system permease/ATPase,,
ATU_RS15655,,,hypothetical protein,,
ATU_RS15660,,,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,transmembrane transporter activity|0022857||IEA,transport|0006810||IEA
ATU_RS15665,,,FecR family protein,transmembrane signaling receptor activity|0004888||IEA,monoatomic ion transport|0006811||IEA
ATU_RS15670,,,RNA polymerase sigma factor,sigma factor activity|0016987||IEA,DNA-templated transcription initiation|0006352||IEA
ATU_RS15675,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15680,,,iron ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15685,,,ABC transporter substrate-binding protein,,
ATU_RS15690,,,ABC transporter substrate-binding protein,,
ATU_RS15695,,,class I SAM-dependent methyltransferase,methyltransferase activity|0008168||IEA,
ATU_RS15700,,,pseudoazurin,copper ion binding|0005507||IEA,
ATU_RS15705,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15710,,,iron ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15715,,,ABC transporter substrate-binding protein,,
ATU_RS15720,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS15725,argE,,acetylornithine deacetylase,acetylornithine deacetylase activity|0008777||IEA,ornithine biosynthetic process|0006592||IEA
ATU_RS15730,,,glyoxylate/hydroxypyruvate reductase A,,
ATU_RS15735,,,cupin domain-containing protein,,
ATU_RS15740,,,aldehyde dehydrogenase,oxidoreductase activity,
ATU_RS15745,,,tartrate dehydrogenase,tartrate dehydrogenase activity|0009027||IEA,carboxylic acid catabolic process|0046395||IEA
ATU_RS15750,,,NAD-dependent succinate-semialdehyde dehydrogenase,,
ATU_RS15755,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15760,,,haloacid dehalogenase type II,(S)-2-haloacid dehalogenase activity|0018784||IEA,xenobiotic metabolic process|0006805||IEA
ATU_RS15765,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS15770,,,aspartate aminotransferase family protein,,
ATU_RS15775,,,HAD-IA family hydrolase,,
ATU_RS15780,,,ABC transporter substrate-binding protein,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15785,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS15790,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15795,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15800,,,Lrp/AsnC family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS15805,,,FAD-binding oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15810,,,ABC transporter substrate-binding protein,,
ATU_RS15815,,,ABC transporter substrate-binding protein,,
ATU_RS26920,,,amino acid ABC transporter permease/ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15825,,,GNAT family N-acetyltransferase,N-acetyltransferase activity|0008080||IEA,
ATU_RS15830,,,M20 aminoacylase family protein,hydrolase activity|0016787||IEA,
ATU_RS15835,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15840,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15845,,,Rrf2 family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS15850,,,acyl-CoA dehydrogenase family protein,oxidoreductase activity,
ATU_RS15855,,,flavin reductase family protein,,
ATU_RS15860,ssuD,,FMNH2-dependent alkanesulfonate monooxygenase,alkanesulfonate monooxygenase activity|0008726||IEA,sulfur compound metabolic process|0006790||IEA
ATU_RS15865,,,hypothetical protein,,
ATU_RS15870,,,alpha/beta hydrolase,,
ATU_RS15875,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15880,,,acyl-CoA dehydrogenase family protein,,
ATU_RS15885,,,ABC transporter substrate-binding protein,ABC-type transporter activity|0140359||IEA,
ATU_RS15890,,,ABC transporter substrate-binding protein,,
ATU_RS15895,,,ABC transporter permease,,transmembrane transport|0055085||IEA
ATU_RS15900,,,ABC transporter permease,ATPase-coupled transmembrane transporter activity|0042626||IEA,
ATU_RS15905,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS15910,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,peptide transport|0015833||IEA
ATU_RS15915,,,aldo/keto reductase,,
ATU_RS15920,,,acyl-CoA dehydrogenase family protein,,
ATU_RS15925,,,LysR substrate-binding domain-containing protein,,
ATU_RS15930,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15935,,,ABC transporter substrate-binding protein,,
ATU_RS15940,,,DUF3088 domain-containing protein,,
ATU_RS15945,,,ABC transporter substrate-binding protein,,
ATU_RS15950,,,M20 aminoacylase family protein,hydrolase activity|0016787||IEA,
ATU_RS15955,,,LLM class flavin-dependent oxidoreductase,FMN binding|0010181||IEA,
ATU_RS15960,,,NmrA family NAD(P)-binding protein,,
ATU_RS15965,,,ABC transporter substrate-binding protein,ABC-type transporter activity|0140359||IEA,
ATU_RS15970,,,NtaA/DmoA family FMN-dependent monooxygenase,FMN binding|0010181||IEA,metabolic process|0008152||IEA
ATU_RS15975,,,LLM class flavin-dependent oxidoreductase,oxidoreductase activity|0016491||IEA,
ATU_RS15980,,,mandelate racemase family protein,,
